Symbol
USO
USG
AXP
TEVA
AAPL
STMP
MKTX
EXLS
ELLI
GGG
BMA
FISV
EPR
TTC
VZ
EW
ELS
T
GOOGL
GOOG
JKHY
DPS
ROST
ICE
STZ
TAL
PSA
ADC
LSI
FB
